name,Heart Disease,Mal Neoplasms,Cerebrovas Dis,AIDS,Pneumonia,CLRD,Diabetes Mellitus,Accidents,Other
< 1,5,3,2,0,3,1,0,9,414
1-9,0,21,1,0,1,8,0,15,63
10-19,5,22,1,1,1,12,0,30,103
20-24,6,18,2,6,4,5,3,110,200
25-34,88,99,13,30,9,12,19,334,463
35-44,190,325,42,54,13,16,52,315,579
45-54,789,985,128,101,52,62,137,477,947
55-64,"1,826","2,395",182,151,182,193,281,425,"1,516"
65-74,"2,812","3,320",318,60,331,335,412,197,"1,826"
75-84,"4,195","3,136",485,17,529,463,458,164,"2,687"
85+,"7,384","2,424",733,6,879,564,385,217,"4,997"
